askQty,askTop,bidQty,bidTop,timestamp
2.863,1.9451,37106000,37132000,2023-01-05/30/23 00:01:12
3.3973999999999998,1.4119,37106000,37130000,2023-01-05/30/23 00:01:13
3.3805,1.4119,37103000,37130000,2023-01-05/30/23 00:01:14
3.4038999999999997,0.8962999999999999,37104000,37128000,2023-01-05/30/23 00:01:15
2.8851999999999998,0.8962999999999999,37104000,37128000,2023-01-05/30/23 00:01:16
3.4038999999999997,0.36419999999999997,37104000,37115000,2023-01-05/30/23 00:01:17
3.4042,0.36419999999999997,37104000,37115000,2023-01-05/30/23 00:01:18
3.4042,0.3585999999999999,37104000,37115000,2023-01-05/30/23 00:01:19
3.4518,0.35839999999999994,37104000,37115000,2023-01-05/30/23 00:01:20
3.4254,0.35839999999999994,37104000,37115000,2023-01-05/30/23 00:01:21
3.4444,0.35839999999999994,37104000,37115000,2023-01-05/30/23 00:01:22
3.4444,0.35839999999999994,37104000,37115000,2023-01-05/30/23 00:01:23
3.4471000000000003,0.35839999999999994,37104000,37115000,2023-01-05/30/23 00:01:24
3.4471000000000003,0.35839999999999994,37104000,37115000,2023-01-05/30/23 00:01:25
2.9358,0.35839999999999994,37105000,37115000,2023-01-05/30/23 00:01:26
2.9358,0.35839999999999994,37105000,37115000,2023-01-05/30/23 00:01:27
3.2859,0.39880000000000004,37101000,37115000,2023-01-05/30/23 00:01:28
3.3123,0.8794000000000001,37101000,37115000,2023-01-05/30/23 00:01:29
3.2859,0.8794000000000001,37101000,37115000,2023-01-05/30/23 00:01:30
3.2098999999999998,0.8794000000000001,37101000,37115000,2023-01-05/30/23 00:01:31
4.2952,1.4048999999999998,37101000,37113000,2023-01-05/30/23 00:01:32
2.6682999999999995,1.3760999999999999,37101000,37111000,2023-01-05/30/23 00:01:33
1.5916999999999997,1.9365999999999999,37101000,37108000,2023-01-05/30/23 00:01:34
1.5916999999999997,1.9365999999999999,37101000,37108000,2023-01-05/30/23 00:01:35
1.5916999999999997,1.9365999999999999,37101000,37108000,2023-01-05/30/23 00:01:36
1.5916999999999997,1.9365999999999999,37101000,37108000,2023-01-05/30/23 00:01:37
1.5881999999999996,1.9365999999999999,37101000,37108000,2023-01-05/30/23 00:01:38
1.5881999999999996,1.9293,37101000,37108000,2023-01-05/30/23 00:01:39
2.2013,1.4072999999999998,37099000,37101000,2023-01-05/30/23 00:01:40
2.2013,1.4072999999999998,37099000,37101000,2023-01-05/30/23 00:01:41
2.2157,1.4312,37099000,37101000,2023-01-05/30/23 00:01:42
2.2420999999999998,0.322,37099000,37101000,2023-01-05/30/23 00:01:43
2.2420999999999998,0.322,37099000,37101000,2023-01-05/30/23 00:01:44
2.2420999999999998,0.322,37099000,37101000,2023-01-05/30/23 00:01:45
2.2382,0.322,37099000,37101000,2023-01-05/30/23 00:01:46
2.8028999999999997,0.322,37099000,37101000,2023-01-05/30/23 00:01:47
2.8028999999999997,0.35890000000000005,37099000,37101000,2023-01-05/30/23 00:01:48
2.8601,0.32580000000000003,37099000,37101000,2023-01-05/30/23 00:01:49
2.8337,0.37539999999999996,37099000,37101000,2023-01-05/30/23 00:01:50
2.8241,0.37539999999999996,37099000,37101000,2023-01-05/30/23 00:01:51
2.8355,0.3252,37099000,37101000,2023-01-05/30/23 00:01:52
2.8355,0.3252,37099000,37101000,2023-01-05/30/23 00:01:53
3.0149,0.29059999999999997,37101000,37112000,2023-01-05/30/23 00:01:54
2.9959000000000002,1.4356,37101000,37115000,2023-01-05/30/23 00:01:55
2.9959000000000002,1.4356,37101000,37115000,2023-01-05/30/23 00:01:56
2.9959000000000002,1.4356,37101000,37115000,2023-01-05/30/23 00:01:57
3.5342000000000002,1.4356,37101000,37115000,2023-01-05/30/23 00:01:58
3.3740000000000006,1.4356,37099000,37115000,2023-01-05/30/23 00:01:59
3.4632000000000005,0.3043,37100000,37115000,2023-02-05/30/23 00:02:00
3.4632000000000005,0.3043,37100000,37115000,2023-02-05/30/23 00:02:01
3.4632000000000005,0.3043,37100000,37115000,2023-02-05/30/23 00:02:02
2.9124000000000003,0.3326,37115000,37117000,2023-02-05/30/23 00:02:03
2.9124000000000003,0.3326,37115000,37117000,2023-02-05/30/23 00:02:04
2.8432000000000004,0.3729,37115000,37117000,2023-02-05/30/23 00:02:05
2.8669000000000002,0.41569999999999996,37115000,37117000,2023-02-05/30/23 00:02:06
2.8350000000000004,0.35960000000000003,37115000,37119000,2023-02-05/30/23 00:02:07
2.8816,0.3985,37115000,37124000,2023-02-05/30/23 00:02:08
3.2051,0.8767,37115000,37127000,2023-02-05/30/23 00:02:09
3.2051,0.8767,37115000,37127000,2023-02-05/30/23 00:02:10
