mid_price_top,mid_price_mean,mid_price_mid,mid_price_market_top,mid_price_market_mean,mid_price_market_mid,book_imbalance_0.5_1sec,timestamp
37128000,37128800,37126750,37118080.92485549,37129654.447174445,37108266.57298727,131689043.82412118,2023-00-05/30/23 00:00:55
37128000,37128800,37126750,37118080.92485549,37129654.447174445,37108266.57298727,131689043.82412118,2023-00-05/30/23 00:00:56
37128000,37126650,37125750,37118080.92485549,37125753.75538137,37131117.737003066,127357552.33203563,2023-00-05/30/23 00:00:57
37127000,37126300,37125750,37117903.84615385,37127258.59350127,37131117.737003066,120904351.07723555,2023-00-05/30/23 00:00:58
37127000,37125600,37125000,37117903.84615385,37129025.04816955,37110520.07456266,137486547.41532758,2023-00-05/30/23 00:00:59
37127000,37125600,37125000,37117903.84615385,37129025.04816955,37110520.07456266,137486547.41532758,2023-01-05/30/23 00:01:00
37128000,37127050,37127000,37137174.272055626,37126657.083144486,37132051.98776759,129882195.15424818,2023-01-05/30/23 00:01:01
37126000,37123200,37122250,37127902.56864482,37127693.41042359,37118519.63048498,136858120.6626371,2023-01-05/30/23 00:01:02
37123000,37122350,37120750,37136761.40808344,37130151.60265331,37142016.356090814,159847692.1657095,2023-01-05/30/23 00:01:03
37123000,37122350,37120750,37136761.40808344,37130151.60265331,37142016.356090814,159847692.1657095,2023-01-05/30/23 00:01:04
37123000,37121450,37120750,37136761.40808344,37125976.27562146,37142016.356090814,154480957.62268555,2023-01-05/30/23 00:01:05
37122000,37121050,37120250,37135477.13928193,37125163.62234008,37139805.7312253,152792220.94452333,2023-01-05/30/23 00:01:06
37122500,37121100,37120250,37113519.31330472,37123062.14559207,37139814.66435277,125605127.78126168,2023-01-05/30/23 00:01:07
37120000,37121450,37120250,37122445.41484716,37131251.322501995,37139814.66435277,140068748.25067613,2023-01-05/30/23 00:01:08
37121000,37122600,37121250,37127313.43283582,37131906.666666664,37139990.88901161,131412441.52911177,2023-01-05/30/23 00:01:09
37119000,37119950,37119000,37112982.456140354,37124044.95538778,37137336.44706654,123326515.76259172,2023-01-05/30/23 00:01:10
37119000,37119950,37119000,37112982.456140354,37124044.95538778,37137336.44706654,123326515.76259172,2023-01-05/30/23 00:01:11
37119000,37119950,37119000,37112982.456140354,37124044.95538778,37137336.44706654,123326515.76259172,2023-01-05/30/23 00:01:12
37118000,37118150,37117500,37125573.7704918,37126881.69172229,37136712.025840655,122897250.09148219,2023-01-05/30/23 00:01:13
37116500,37117250,37116500,37127667.946257204,37126307.59744596,37137102.2249691,133628763.11550838,2023-01-05/30/23 00:01:14
37116000,37116950,37116750,37112380.952380955,37128700.183712386,37134784.40592036,142893160.32436413,2023-01-05/30/23 00:01:15
37116000,37117600,37117750,37112380.952380955,37127856.12852043,37134893.81797367,142704163.6252415,2023-01-05/30/23 00:01:16
37109500,37115300,37115750,37111869.91869918,37130223.82102386,37132589.847551085,151942945.96708882,2023-01-05/30/23 00:01:17
37109500,37115300,37115750,37111895.16129032,37130224.105721265,37132589.847551085,151954072.5688097,2023-01-05/30/23 00:01:18
37109500,37115300,37115750,37113294.30379747,37130273.84926119,37132589.847551085,149554609.62386978,2023-01-05/30/23 00:01:19
37109500,37114900,37115250,37114319.44444444,37129594.90840376,37131755.36759922,153866214.3645989,2023-01-05/30/23 00:01:20
37109500,37114900,37115250,37113979.16666667,37129571.15069507,37131755.36759922,153261820.9742681,2023-01-05/30/23 00:01:21
37109500,37114900,37115250,37113979.16666667,37129588.282318294,37131789.524267174,153357682.3368377,2023-01-05/30/23 00:01:22
37109500,37114900,37115250,37113979.16666667,37129588.282318294,37131789.524267174,153357682.3368377,2023-01-05/30/23 00:01:23
37109500,37114900,37115250,37113979.16666667,37129590.702929966,37131789.524267174,153484875.2887945,2023-01-05/30/23 00:01:24
37109500,37114900,37115250,37113979.16666667,37129590.702929966,37131789.524267174,153484875.2887945,2023-01-05/30/23 00:01:25
37110000,37115700,37116250,37113434.50479233,37129235.61410965,37131907.41630626,152928483.3944975,2023-01-05/30/23 00:01:26
37110000,37115700,37116250,37113434.50479233,37129235.61410965,37131907.41630626,152928483.3944975,2023-01-05/30/23 00:01:27
37108000,37108900,37109250,37104669.90291262,37121593.30474665,37118108.68031052,172631899.47006655,2023-01-05/30/23 00:01:28
37108000,37109250,37109750,37104669.90291262,37118855.767349765,37119271.848137535,156547716.25181732,2023-01-05/30/23 00:01:29
37108000,37109250,37109750,37104669.90291262,37118811.75425539,37119271.848137535,156506921.3696295,2023-01-05/30/23 00:01:30
37108000,37109250,37109750,37104669.90291262,37118681.87709388,37119271.848137535,158638955.94007665,2023-01-05/30/23 00:01:31
37107000,37104700,37105500,37101407.03517588,37113015.80498587,37095340.1826484,124181011.75546274,2023-01-05/30/23 00:01:32
37106000,37105300,37105500,37101882.35294118,37109868.9002077,37105210.11414919,144491262.48200384,2023-01-05/30/23 00:01:33
37104500,37103450,37103000,37101607.717041805,37102272.08287277,37114251.25134072,150187610.93869573,2023-01-05/30/23 00:01:34
37104500,37103450,37103000,37101607.717041805,37102272.08287277,37114251.25134072,150187610.93869573,2023-01-05/30/23 00:01:35
37104500,37103450,37103000,37101607.717041805,37102272.08287277,37114251.25134072,150187610.93869573,2023-01-05/30/23 00:01:36
37104500,37103450,37103000,37101607.717041805,37102272.08287277,37114251.25134072,150187610.93869573,2023-01-05/30/23 00:01:37
37104500,37103850,37103000,37101607.717041805,37102698.48502042,37114251.25134072,151268106.6739222,2023-01-05/30/23 00:01:38
37104500,37103850,37103000,37101607.717041805,37102720.27292111,37113987.94063079,143630543.9696505,2023-01-05/30/23 00:01:39
37100000,37105350,37106000,37099116.129032254,37108507.42947403,37110242.08144797,153032394.10347822,2023-01-05/30/23 00:01:40
37100000,37105350,37106000,37099116.129032254,37108507.42947403,37110242.08144797,153032394.10347822,2023-01-05/30/23 00:01:41
37100000,37104700,37105250,37099116.129032254,37107647.06463023,37103032.39017126,143375410.0136949,2023-01-05/30/23 00:01:42
37100000,37105000,37105250,37099150.83798882,37115408.87250887,37103032.39017126,173865718.84721503,2023-01-05/30/23 00:01:43
37100000,37105000,37105250,37099150.83798882,37115408.87250887,37103032.39017126,173865718.84721503,2023-01-05/30/23 00:01:44
37100000,37105000,37105250,37099150.83798882,37115408.87250887,37103032.39017126,173865718.84721503,2023-01-05/30/23 00:01:45
37100000,37105000,37105250,37099150.83798882,37115403.55440982,37102539.87730061,173869166.4442597,2023-01-05/30/23 00:01:46
37100000,37105350,37105500,37099150.83798882,37116107.526640855,37117665.329730645,181552838.82904562,2023-01-05/30/23 00:01:47
37100000,37104450,37104750,37099074.380165294,37114228.16433676,37116236.46255061,173751766.89577797,2023-01-05/30/23 00:01:48
37100000,37105300,37105500,37099074.380165294,37116038.89638721,37117254.32180851,178071905.373562,2023-01-05/30/23 00:01:49
37100000,37106300,37106250,37099074.380165294,37117407.584681064,37119710.1875054,178402460.405097,2023-01-05/30/23 00:01:50
37100000,37106700,37106750,37099074.380165294,37117491.270511016,37103562.27327691,176063926.95726252,2023-01-05/30/23 00:01:51
37100000,37105700,37106000,37099335.71428572,37116104.31866358,37099239.50233282,176469801.29117334,2023-01-05/30/23 00:01:52
37100000,37105700,37106000,37099335.71428572,37116104.31866358,37099239.50233282,176469801.29117334,2023-01-05/30/23 00:01:53
37106500,37108000,37107250,37111736.369083285,37119455.98850401,37119220.191915065,157334002.10291156,2023-01-05/30/23 00:01:54
37108000,37109300,37108250,37113523.887973644,37114651.813155815,37119992.74652029,132154213.72399276,2023-01-05/30/23 00:01:55
37108000,37109300,37108250,37113523.887973644,37114651.813155815,37119992.74652029,132154213.72399276,2023-01-05/30/23 00:01:56
37108000,37109300,37108250,37113523.887973644,37114651.813155815,37119992.74652029,132154213.72399276,2023-01-05/30/23 00:01:57
37108000,37109300,37108250,37113523.887973644,37115718.51181134,37121536.81800839,128550057.8921442,2023-01-05/30/23 00:01:58
37107000,37108550,37107750,37105774.774774775,37114978.28509647,37120451.799485855,136748791.87332425,2023-01-05/30/23 00:01:59
37107500,37108600,37108250,37112407.74077408,37120841.52355674,37121536.81800839,164535069.8861905,2023-02-05/30/23 00:02:00
37107500,37108600,37108250,37112407.74077408,37120841.52355674,37121536.81800839,164535069.8861905,2023-02-05/30/23 00:02:01
37107500,37108600,37108250,37112407.74077408,37120841.52355674,37121536.81800839,164535069.8861905,2023-02-05/30/23 00:02:02
37116000,37110900,37110000,37116105.511811025,37122507.11248074,37123347.888332136,160276502.48327613,2023-02-05/30/23 00:02:03
37116000,37110900,37110000,37116105.511811025,37122507.11248074,37123347.888332136,160276502.48327613,2023-02-05/30/23 00:02:04
37116000,37110900,37109750,37116105.511811025,37123189.66760984,37120137.25490196,163880628.9037171,2023-02-05/30/23 00:02:05
37116000,37112600,37112250,37116105.511811025,37124622.2750259,37127918.57529306,157077090.43312708,2023-02-05/30/23 00:02:06
37117000,37113100,37112250,37115238.36126629,37125962.84354849,37127918.57529306,164645095.93812916,2023-02-05/30/23 00:02:07
37119500,37116750,37116250,37115569.16996048,37130792.71363678,37132018.17826427,147298898.3897533,2023-02-05/30/23 00:02:08
37121000,37116500,37115000,37116234.726688094,37126710.77955803,37115094.722598106,153128211.84042755,2023-02-05/30/23 00:02:09
37121000,37116500,37115000,37116234.726688094,37126710.77955803,37115094.722598106,153128211.84042755,2023-02-05/30/23 00:02:10
37126500,37131400,37129750,37116451.6765286,37154208.00944181,37131210.6870229,138003209.84257236,2023-02-05/30/23 00:02:11
37126500,37129650,37126250,37116451.6765286,37145123.4080845,37126014.00289715,156204203.9921735,2023-02-05/30/23 00:02:12
